percent_perturbed,perturbation,input,readable_output,model_type,tokenized_output,confidence,bleu_score,control_number
50,all named entities,bpe_set/removed_named_allentities_50.en.bpe,translations/out_removed_named_allentities_50.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_allentities_50.zh_shuffled-en-zh.bpe,μ = 27.7 ± 0.6,27.7,3
60,all named entities,bpe_set/removed_named_allentities_60.en.bpe,translations/out_removed_named_allentities_60.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_allentities_60.zh_shuffled-en-zh.bpe,μ = 26.4 ± 0.6,26.4,3
70,all named entities,bpe_set/removed_named_allentities_70.en.bpe,translations/out_removed_named_allentities_70.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_allentities_70.zh_shuffled-en-zh.bpe,μ = 25.1 ± 0.6,25.1,3
80,all named entities,bpe_set/removed_named_allentities_80.en.bpe,translations/out_removed_named_allentities_80.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_allentities_80.zh_shuffled-en-zh.bpe,μ = 23.7 ± 0.6,23.8,3
90,all named entities,bpe_set/removed_named_allentities_90.en.bpe,translations/out_removed_named_allentities_90.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_allentities_90.zh_shuffled-en-zh.bpe,μ = 22.6 ± 0.6,22.6,3
100,cardinal numbers,bpe_set/removed_named_entities_cardinal_100.en.bpe,translations/out_removed_named_entities_cardinal_100.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_cardinal_100.zh_shuffled-en-zh.bpe,μ = 33.6 ± 0.7,33.6,4
10,cardinal numbers,bpe_set/removed_named_entities_cardinal_10.en.bpe,translations/out_removed_named_entities_cardinal_10.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_cardinal_10.zh_shuffled-en-zh.bpe,μ = 36.3 ± 0.7,36.4,4
20,cardinal numbers,bpe_set/removed_named_entities_cardinal_20.en.bpe,translations/out_removed_named_entities_cardinal_20.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_cardinal_20.zh_shuffled-en-zh.bpe,μ = 36.0 ± 0.8,36.0,4
30,cardinal numbers,bpe_set/removed_named_entities_cardinal_30.en.bpe,translations/out_removed_named_entities_cardinal_30.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_cardinal_30.zh_shuffled-en-zh.bpe,μ = 35.7 ± 0.8,35.7,4
40,cardinal numbers,bpe_set/removed_named_entities_cardinal_40.en.bpe,translations/out_removed_named_entities_cardinal_40.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_cardinal_40.zh_shuffled-en-zh.bpe,μ = 35.5 ± 0.7,35.5,4
50,cardinal numbers,bpe_set/removed_named_entities_cardinal_50.en.bpe,translations/out_removed_named_entities_cardinal_50.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_cardinal_50.zh_shuffled-en-zh.bpe,μ = 35.2 ± 0.7,35.2,4
60,cardinal numbers,bpe_set/removed_named_entities_cardinal_60.en.bpe,translations/out_removed_named_entities_cardinal_60.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_cardinal_60.zh_shuffled-en-zh.bpe,μ = 34.9 ± 0.7,34.9,4
70,cardinal numbers,bpe_set/removed_named_entities_cardinal_70.en.bpe,translations/out_removed_named_entities_cardinal_70.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_cardinal_70.zh_shuffled-en-zh.bpe,μ = 34.6 ± 0.7,34.6,4
80,cardinal numbers,bpe_set/removed_named_entities_cardinal_80.en.bpe,translations/out_removed_named_entities_cardinal_80.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_cardinal_80.zh_shuffled-en-zh.bpe,μ = 34.3 ± 0.7,34.3,4
90,cardinal numbers,bpe_set/removed_named_entities_cardinal_90.en.bpe,translations/out_removed_named_entities_cardinal_90.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_cardinal_90.zh_shuffled-en-zh.bpe,μ = 34.0 ± 0.7,34.0,4
100,named organizations,bpe_set/removed_named_entities_organization_100.en.bpe,translations/out_removed_named_entities_organization_100.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_organization_100.zh_shuffled-en-zh.bpe,μ = 31.6 ± 0.7,31.6,5
10,named organizations,bpe_set/removed_named_entities_organization_10.en.bpe,translations/out_removed_named_entities_organization_10.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_organization_10.zh_shuffled-en-zh.bpe,μ = 36.2 ± 0.8,36.2,5
20,named organizations,bpe_set/removed_named_entities_organization_20.en.bpe,translations/out_removed_named_entities_organization_20.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_organization_20.zh_shuffled-en-zh.bpe,μ = 35.5 ± 0.8,35.5,5
30,named organizations,bpe_set/removed_named_entities_organization_30.en.bpe,translations/out_removed_named_entities_organization_30.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_organization_30.zh_shuffled-en-zh.bpe,μ = 35.0 ± 0.7,35.0,5
40,named organizations,bpe_set/removed_named_entities_organization_40.en.bpe,translations/out_removed_named_entities_organization_40.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_organization_40.zh_shuffled-en-zh.bpe,μ = 34.3 ± 0.7,34.3,5
50,named organizations,bpe_set/removed_named_entities_organization_50.en.bpe,translations/out_removed_named_entities_organization_50.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_organization_50.zh_shuffled-en-zh.bpe,μ = 33.7 ± 0.7,33.7,5
60,named organizations,bpe_set/removed_named_entities_organization_60.en.bpe,translations/out_removed_named_entities_organization_60.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_organization_60.zh_shuffled-en-zh.bpe,μ = 33.3 ± 0.7,33.3,5
70,named organizations,bpe_set/removed_named_entities_organization_70.en.bpe,translations/out_removed_named_entities_organization_70.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_organization_70.zh_shuffled-en-zh.bpe,μ = 32.9 ± 0.7,32.9,5
80,named organizations,bpe_set/removed_named_entities_organization_80.en.bpe,translations/out_removed_named_entities_organization_80.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_organization_80.zh_shuffled-en-zh.bpe,μ = 32.5 ± 0.7,32.5,5
90,named organizations,bpe_set/removed_named_entities_organization_90.en.bpe,translations/out_removed_named_entities_organization_90.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_organization_90.zh_shuffled-en-zh.bpe,μ = 31.9 ± 0.7,31.9,5
100,named people,bpe_set/removed_named_entities_person_100.en.bpe,translations/out_removed_named_entities_person_100.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_person_100.zh_shuffled-en-zh.bpe,μ = 36.4 ± 0.8,36.4,6
10,named people,bpe_set/removed_named_entities_person_10.en.bpe,translations/out_removed_named_entities_person_10.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_person_10.zh_shuffled-en-zh.bpe,μ = 36.6 ± 0.8,36.6,6
20,named people,bpe_set/removed_named_entities_person_20.en.bpe,translations/out_removed_named_entities_person_20.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_person_20.zh_shuffled-en-zh.bpe,μ = 36.5 ± 0.8,36.6,6
30,named people,bpe_set/removed_named_entities_person_30.en.bpe,translations/out_removed_named_entities_person_30.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_person_30.zh_shuffled-en-zh.bpe,μ = 36.5 ± 0.8,36.5,6
40,named people,bpe_set/removed_named_entities_person_40.en.bpe,translations/out_removed_named_entities_person_40.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_person_40.zh_shuffled-en-zh.bpe,μ = 36.6 ± 0.8,36.6,6
50,named people,bpe_set/removed_named_entities_person_50.en.bpe,translations/out_removed_named_entities_person_50.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_person_50.zh_shuffled-en-zh.bpe,μ = 36.5 ± 0.8,36.5,6
60,named people,bpe_set/removed_named_entities_person_60.en.bpe,translations/out_removed_named_entities_person_60.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_person_60.zh_shuffled-en-zh.bpe,μ = 36.5 ± 0.7,36.5,6
70,named people,bpe_set/removed_named_entities_person_70.en.bpe,translations/out_removed_named_entities_person_70.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_person_70.zh_shuffled-en-zh.bpe,μ = 36.5 ± 0.8,36.5,6
80,named people,bpe_set/removed_named_entities_person_80.en.bpe,translations/out_removed_named_entities_person_80.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_person_80.zh_shuffled-en-zh.bpe,μ = 36.4 ± 0.8,36.4,6
90,named people,bpe_set/removed_named_entities_person_90.en.bpe,translations/out_removed_named_entities_person_90.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_entities_person_90.zh_shuffled-en-zh.bpe,μ = 36.4 ± 0.8,36.4,6
100,articles,bpe_set/rm_articles_100.en.bpe,translations/out_rm_articles_100.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_rm_articles_100.zh_shuffled-en-zh.bpe,μ = 35.5 ± 0.8,35.5,7
10,articles,bpe_set/rm_articles_10.en.bpe,translations/out_rm_articles_10.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_rm_articles_10.zh_shuffled-en-zh.bpe,μ = 36.6 ± 0.8,36.6,7
20,articles,bpe_set/rm_articles_20.en.bpe,translations/out_rm_articles_20.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_rm_articles_20.zh_shuffled-en-zh.bpe,μ = 36.6 ± 0.8,36.6,7
30,articles,bpe_set/rm_articles_30.en.bpe,translations/out_rm_articles_30.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_rm_articles_30.zh_shuffled-en-zh.bpe,μ = 36.5 ± 0.8,36.5,7
40,articles,bpe_set/rm_articles_40.en.bpe,translations/out_rm_articles_40.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_rm_articles_40.zh_shuffled-en-zh.bpe,μ = 36.5 ± 0.7,36.5,7
50,articles,bpe_set/rm_articles_50.en.bpe,translations/out_rm_articles_50.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_rm_articles_50.zh_shuffled-en-zh.bpe,μ = 36.3 ± 0.8,36.3,7
60,articles,bpe_set/rm_articles_60.en.bpe,translations/out_rm_articles_60.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_rm_articles_60.zh_shuffled-en-zh.bpe,μ = 36.2 ± 0.8,36.2,7
70,articles,bpe_set/rm_articles_70.en.bpe,translations/out_rm_articles_70.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_rm_articles_70.zh_shuffled-en-zh.bpe,μ = 36.1 ± 0.8,36.1,7
80,articles,bpe_set/rm_articles_80.en.bpe,translations/out_rm_articles_80.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_rm_articles_80.zh_shuffled-en-zh.bpe,μ = 35.9 ± 0.8,35.9,7
90,articles,bpe_set/rm_articles_90.en.bpe,translations/out_rm_articles_90.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_rm_articles_90.zh_shuffled-en-zh.bpe,μ = 35.9 ± 0.8,35.9,7
100,demonstrative,bpe_set/rm_demonstrative_100.en.bpe,translations/out_rm_demonstrative_100.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_rm_demonstrative_100.zh_shuffled-en-zh.bpe,μ = 35.5 ± 0.8,35.5,8
10,demonstrative,bpe_set/rm_demonstrative_10.en.bpe,translations/out_rm_demonstrative_10.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_rm_demonstrative_10.zh_shuffled-en-zh.bpe,μ = 36.6 ± 0.8,36.6,8
20,demonstrative,bpe_set/rm_demonstrative_20.en.bpe,translations/out_rm_demonstrative_20.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_rm_demonstrative_20.zh_shuffled-en-zh.bpe,μ = 36.6 ± 0.7,36.6,8
30,demonstrative,bpe_set/rm_demonstrative_30.en.bpe,translations/out_rm_demonstrative_30.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_rm_demonstrative_30.zh_shuffled-en-zh.bpe,μ = 36.6 ± 0.8,36.6,8
40,demonstrative,bpe_set/rm_demonstrative_40.en.bpe,translations/out_rm_demonstrative_40.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_rm_demonstrative_40.zh_shuffled-en-zh.bpe,μ = 36.5 ± 0.8,36.5,8
50,demonstrative,bpe_set/rm_demonstrative_50.en.bpe,translations/out_rm_demonstrative_50.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_rm_demonstrative_50.zh_shuffled-en-zh.bpe,μ = 36.2 ± 0.8,36.2,8
60,demonstrative,bpe_set/rm_demonstrative_60.en.bpe,translations/out_rm_demonstrative_60.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_rm_demonstrative_60.zh_shuffled-en-zh.bpe,μ = 36.2 ± 0.8,36.2,8
70,demonstrative,bpe_set/rm_demonstrative_70.en.bpe,translations/out_rm_demonstrative_70.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_rm_demonstrative_70.zh_shuffled-en-zh.bpe,μ = 36.1 ± 0.8,36.1,8
80,demonstrative,bpe_set/rm_demonstrative_80.en.bpe,translations/out_rm_demonstrative_80.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_rm_demonstrative_80.zh_shuffled-en-zh.bpe,μ = 35.9 ± 0.8,35.9,8
90,demonstrative,bpe_set/rm_demonstrative_90.en.bpe,translations/out_rm_demonstrative_90.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_rm_demonstrative_90.zh_shuffled-en-zh.bpe,μ = 35.8 ± 0.7,35.8,8
100,determiner,bpe_set/without_DT_100.en.bpe,translations/out_without_DT_100.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_without_DT_100.zh_shuffled-en-zh.bpe,μ = 34.5 ± 0.7,34.5,9
10,determiner,bpe_set/without_DT_10.en.bpe,translations/out_without_DT_10.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_without_DT_10.zh_shuffled-en-zh.bpe,μ = 36.4 ± 0.7,36.4,9
20,determiner,bpe_set/without_DT_20.en.bpe,translations/out_without_DT_20.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_without_DT_20.zh_shuffled-en-zh.bpe,μ = 36.3 ± 0.7,36.3,9
30,determiner,bpe_set/without_DT_30.en.bpe,translations/out_without_DT_30.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_without_DT_30.zh_shuffled-en-zh.bpe,μ = 36.3 ± 0.8,36.3,9
40,determiner,bpe_set/without_DT_40.en.bpe,translations/out_without_DT_40.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_without_DT_40.zh_shuffled-en-zh.bpe,μ = 36.0 ± 0.8,36.0,9
50,determiner,bpe_set/without_DT_50.en.bpe,translations/out_without_DT_50.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_without_DT_50.zh_shuffled-en-zh.bpe,μ = 35.7 ± 0.7,35.7,9
60,determiner,bpe_set/without_DT_60.en.bpe,translations/out_without_DT_60.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_without_DT_60.zh_shuffled-en-zh.bpe,μ = 35.4 ± 0.7,35.4,9
70,determiner,bpe_set/without_DT_70.en.bpe,translations/out_without_DT_70.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_without_DT_70.zh_shuffled-en-zh.bpe,μ = 35.2 ± 0.7,35.2,9
80,determiner,bpe_set/without_DT_80.en.bpe,translations/out_without_DT_80.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_without_DT_80.zh_shuffled-en-zh.bpe,μ = 35.1 ± 0.7,35.1,9
90,determiner,bpe_set/without_DT_90.en.bpe,translations/out_without_DT_90.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_without_DT_90.zh_shuffled-en-zh.bpe,μ = 34.8 ± 0.7,34.8,9
100,prepositions,bpe_set/without_prep_100.en.bpe,translations/out_without_prep_100.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_without_prep_100.zh_shuffled-en-zh.bpe,μ = 30.0 ± 0.7,30.1,10
10,prepositions,bpe_set/without_prep_10.en.bpe,translations/out_without_prep_10.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_without_prep_10.zh_shuffled-en-zh.bpe,μ = 36.3 ± 0.8,36.3,10
20,prepositions,bpe_set/without_prep_20.en.bpe,translations/out_without_prep_20.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_without_prep_20.zh_shuffled-en-zh.bpe,μ = 35.8 ± 0.7,35.8,10
30,prepositions,bpe_set/without_prep_30.en.bpe,translations/out_without_prep_30.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_without_prep_30.zh_shuffled-en-zh.bpe,μ = 35.3 ± 0.7,35.3,10
40,prepositions,bpe_set/without_prep_40.en.bpe,translations/out_without_prep_40.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_without_prep_40.zh_shuffled-en-zh.bpe,μ = 34.8 ± 0.7,34.8,10
50,prepositions,bpe_set/without_prep_50.en.bpe,translations/out_without_prep_50.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_without_prep_50.zh_shuffled-en-zh.bpe,μ = 34.1 ± 0.7,34.1,10
60,prepositions,bpe_set/without_prep_60.en.bpe,translations/out_without_prep_60.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_without_prep_60.zh_shuffled-en-zh.bpe,μ = 33.1 ± 0.7,33.1,10
70,prepositions,bpe_set/without_prep_70.en.bpe,translations/out_without_prep_70.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_without_prep_70.zh_shuffled-en-zh.bpe,μ = 32.6 ± 0.7,32.6,10
80,prepositions,bpe_set/without_prep_80.en.bpe,translations/out_without_prep_80.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_without_prep_80.zh_shuffled-en-zh.bpe,μ = 31.5 ± 0.7,31.5,10
90,prepositions,bpe_set/without_prep_90.en.bpe,translations/out_without_prep_90.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_without_prep_90.zh_shuffled-en-zh.bpe,μ = 30.9 ± 0.7,30.9,10
100,word corruption,bpe_set/with_typos_100.en.bpe,translations/out_with_typos_100.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_with_typos_100.zh_shuffled-en-zh.bpe,μ = 0.2 ± 0.0,0.2,11
10,word corruption,bpe_set/with_typos_10.en.bpe,translations/out_with_typos_10.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_with_typos_10.zh_shuffled-en-zh.bpe,μ = 30.1 ± 0.6,30.1,11
20,word corruption,bpe_set/with_typos_20.en.bpe,translations/out_with_typos_20.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_with_typos_20.zh_shuffled-en-zh.bpe,μ = 23.3 ± 0.6,23.3,11
30,word corruption,bpe_set/with_typos_30.en.bpe,translations/out_with_typos_30.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_with_typos_30.zh_shuffled-en-zh.bpe,μ = 17.8 ± 0.5,17.8,11
40,word corruption,bpe_set/with_typos_40.en.bpe,translations/out_with_typos_40.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_with_typos_40.zh_shuffled-en-zh.bpe,μ = 13.3 ± 0.4,13.3,11
50,word corruption,bpe_set/with_typos_50.en.bpe,translations/out_with_typos_50.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_with_typos_50.zh_shuffled-en-zh.bpe,μ = 9.2 ± 0.4,9.2,11
60,word corruption,bpe_set/with_typos_60.en.bpe,translations/out_with_typos_60.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_with_typos_60.zh_shuffled-en-zh.bpe,μ = 6.0 ± 0.3,6.0,11
70,word corruption,bpe_set/with_typos_70.en.bpe,translations/out_with_typos_70.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_with_typos_70.zh_shuffled-en-zh.bpe,μ = 3.3 ± 0.2,3.3,11
